"from","to","coef"
"BM1","BMI",0.0323262120980416
"BM1","BWZ",0.0248298823960818
"BM2","BM1",0.359015917048306
"BM2","BMI",0.0230870614201323
"BM2","INC",0.0107048772560886
"BWZ","BMI",0.168161937358334
"DP1","BM1",0.186281153635497
"DP1","EM",0.0798486400351231
"DP1","FH",0.0249105953755445
"DP1","SL",0.00500614454778967
"EG","AC",-0.000435492830708007
"FE1","AC",-0.0704787033851432
"FE1","SE",0.316510401669239
"FH","OD",0.0717472218409181
"FH","SL",0.0129795471417698
"FS","DP1",0.601049228232118
"FS","FH",0.153729876439766
"FS","INC",-0.121671435550996
"FS","OD",0.0568506262208636
"FS","RP1",-0.126551260984376
"FV","SL",-0.0066318915702043
"FV","TV",-42.0851729512705
"GW","BWZ",0.0746512854669441
"HSD","HF",0.235284065244184
"INC","GW",0.131143428032513
"ME1","FE1",0.332216456336122
"ME1","FH",-0.0570858005896149
"ME1","INC",-0.0939726956087685
"ME1","SE",0.367360357917023
"RP1","DP1",-0.885922682977707
"RP1","SL",-0.0143135961394704
"SE","BM1",-0.828302306535372
"SE","BM2",-0.587699156204614
"SE","BWZ",0.0974084565773053
"SE","FH",-0.064672166982595
"SE","FS",-0.321290275788149
"SE","FV",0.14556641683421
"SE","HSD",-0.155463398772066
"SE","INC",0.411401740674254
"SE","OD",-0.0793926399492538
"SE","RP1",-0.161615429074961
"SE","SL",-0.0100585449430116
"SE","TV",-129.758129128988
"SL","EM",1.91510580653533
"SX","AC",-0.256253291004596
"SX","EG",-62.8879903921937
"SX","EM",0.197177001630931
"TV","EG",0.0707943309301942
"TV","HF",0.000320580928527428
"TV","HSD",0.000344380972742516
